Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
07-11-24 23:55,Departures,Basel,Cologne Bonn,Sprintair,Departed,2000-01-01 22:38:00,2000-01-01 22:38:00,0.0
07-11-24 23:55,Departures,Basel,Brussels,European Air Transport / DHL,Departed,2000-01-01 22:54:00,2000-01-01 22:54:00,0.0
07-11-24 23:55,Departures,Basel,Liege,FedEx,Departed,2000-01-01 22:58:00,2000-01-01 22:58:00,0.0
07-11-24 23:55,Departures,Basel,Leipzig,European Air Transport / DHL,Departed,2000-01-01 23:03:00,2000-01-01 23:03:00,0.0
07-11-24 23:55,Departures,Basel,Paris Charles De Gaulle,FedEx,Departed,2000-01-01 22:45:00,2000-01-01 22:45:00,0.0
08-11-24 23:55,Departures,Basel,Cagliari,easyJet,Departed,2000-01-01 06:11:00,2000-01-01 06:11:00,0.0
08-11-24 23:55,Departures,Basel,Berlin,easyJet,Departed,2000-01-01 06:14:00,2000-01-01 06:14:00,0.0
08-11-24 23:55,Departures,Basel,Geneva,FedEx,Departed,2000-01-01 06:21:00,2000-01-01 06:21:00,0.0
08-11-24 23:55,Departures,Basel,Amsterdam,KLM,Departed,2000-01-01 06:25:00,2000-01-01 06:25:00,0.0
08-11-24 23:55,Departures,Basel,Marrakech,easyJet,Departed,2000-01-01 06:17:00,2000-01-01 06:17:00,0.0
08-11-24 23:55,Departures,Basel,Budapest,easyJet,Departed,2000-01-01 06:23:00,2000-01-01 06:23:00,0.0
08-11-24 23:55,Departures,Basel,Madrid,easyJet,Departed,2000-01-01 06:37:00,2000-01-01 06:37:00,0.0
08-11-24 23:55,Departures,Basel,Seville,easyJet,Departed,2000-01-01 06:44:00,2000-01-01 06:44:00,0.0
08-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 06:57:00,2000-01-01 06:57:00,0.0
08-11-24 23:55,Departures,Basel,Catania,easyJet,Departed,2000-01-01 06:47:00,2000-01-01 06:47:00,0.0
08-11-24 23:55,Departures,Basel,London Gatwick,easyJet,Departed,2000-01-01 07:02:00,2000-01-01 07:02:00,0.0
08-11-24 23:55,Departures,Basel,Nice,easyJet,Departed,2000-01-01 07:14:00,2000-01-01 07:14:00,0.0
08-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 07:26:00,2000-01-01 07:26:00,0.0
08-11-24 23:55,Departures,Basel,Lisbon,easyJet,Departed,2000-01-01 07:48:00,2000-01-01 07:48:00,0.0
08-11-24 23:55,Departures,Basel,Zagreb,Ryanair,Departed,2000-01-01 07:50:00,2000-01-01 07:50:00,0.0
08-11-24 23:55,Departures,Basel,Constantine,ASL Airlines France,Departed,2000-01-01 07:56:00,2000-01-01 07:56:00,0.0
08-11-24 23:55,Departures,Basel,Rome,easyJet,Departed,2000-01-01 08:02:00,2000-01-01 08:02:00,0.0
08-11-24 23:55,Departures,Basel,Hurghada,Air Cairo,Departed,2000-01-01 08:13:00,2000-01-01 08:13:00,0.0
08-11-24 23:55,Departures,Basel,Belgrade,Wizz Air,Departed,2000-01-01 08:50:00,2000-01-01 09:20:00,30.0
08-11-24 23:55,Departures,Basel,Banja Luka,Wizz Air,Departed,2000-01-01 09:53:00,2000-01-01 09:53:00,0.0
08-11-24 23:55,Departures,Basel,Barcelona,easyJet,Departed,2000-01-01 10:20:00,2000-01-01 10:20:00,0.0
08-11-24 23:55,Departures,Basel,Dublin,Ryanair,Departed,2000-01-01 10:00:00,2000-01-01 10:39:00,39.0
08-11-24 23:55,Departures,Basel,Tuzla,Wizz Air,Departed,2000-01-01 10:09:00,2000-01-01 10:09:00,0.0
08-11-24 23:55,Departures,Basel,Naples,easyJet,Departed,2000-01-01 10:03:00,2000-01-01 10:03:00,0.0
08-11-24 23:55,Departures,Basel,Porto,easyJet,Departed,2000-01-01 10:22:00,2000-01-01 10:22:00,0.0
08-11-24 23:55,Departures,Basel,Vienna,Austrian Airlines,Departed,2000-01-01 10:15:00,2000-01-01 10:34:00,19.0
08-11-24 23:55,Departures,Basel,Prague,easyJet,Departed,2000-01-01 10:15:00,2000-01-01 10:15:00,0.0
